0501 PROCEDURE DECLARATION    VALUE PART DIFFERS FROM FORWARD DECLARATION.      
0511                          FORWARD DECLARATION DOES NOT AGREE WITH           
0512                          ACTUAL DECLARATION.                               
0521                          STATEMENT MAY NOT START WITH THIS TYPE QUANTITY.  
0531                          MISSING RIGHT BRACKET IN SAVE ARRAY DECLARATION.  
0541                          FILL PART OF SAVE ARRAY LONGER THAN SIZE.         
0561                          ILLEGAL DIMENSION INDICATOR IN ARRAY DECLARATION. 
0571                          SAVE STORAGE IS NOT ALLOWED WITH INTRNSICS.       
0591 ARRAYDEC                 ILLEGAL ARRAY SIZE IN ARRAY DECLARATION           
0601 FAULT STATEMENT          MISSING ASSIGNMENT OPERATOR IN FAULT              
0602                         ASSIGNMENT STATEMENT                               
0611 FAULT STATEMENT          INCORRECT IDENTIFIER IN FAULT TYPE LIST OF FAULT  
0612                          DECLARATION                                       
0621                         LEVEL OF POINTER EXPRESSION EXCEEDS LEVEL OF UPDATE
0622                         POINTER IDENTIFIER.                                
0631                         UPDATE POINTER MAY NOT BE CALL-BY-NAME FORMAL      
0632                         PARAMETER.                                         
0701 CASESTMTEXP              MISSING BEGIN IN CASE STATEMENT                   
0711 CASESTMTEXP              MISSING END IN CASE STATEMENT                     
0721 CASESTMTEXP              NULL EXPRESSION NOT ALLOWED IN CASE EXPRESSION    
0731 CASESTMTEXP              TYPES OF EXPRESSIONS IN CASE EXPRESSION VARY      
0741                         RELATIONAL OP OR IN EXPECTED                       
0751                         CONDITION MUST START WITH WHILE OR UNTIL           
0761                         BY MISSING AFTER DESTINATION POINTER               
0771                         SOURCE MUST BE POINTER OR ARITHMETIC EXP           
0781                         ALPHA REQUIRED AFTER IN                            
0791                         ILLEGAL EXPRESSION TYPE                            
0801                          MISSING COMMA IN ARRAY RELEASE STATEMENT.         
0811 ENLINE                   ILLEGAL TYPE OF EXPRESSION IN INLINE FORMAL       
0812                          PARAMETER PART                                    
0821 ENLINE                   ILLEGAL DELIMITER IN INLINE FORMAL PARAMETER PART 
0901                         MISSING LEFT BRACKET.                              
0911                         MISSING COLON.                                     
0921                         ILLEGAL BIT NUMBER.                                
0931                         FIELD SIZE MUST BE LITERAL.                        
0941                         MISSING RIGHT BRACKET.                             
0951                         ILLEGAL FIELD SIZE.                                
0981                          ILLEGAL SPECIFIER IN SCOPE STATEMENT.             
0991                          EXTRA COLON IN STREAM HEADER.                     
1001 ANYWHERE                 UNDECLARED IDENTIFIER                             
1011 PROCEDURES               AN IDENTIFIER LOCAL TO ONE PROCEDURE AND GLOBAL TO
1012                          ANOTHER MAY NOT BE REFERENCED.                    
1021 ARITHMETIC EXPRESSION    CONDITIONAL EXPRESSION NOT OF ARITHMETIC TYPE     
1031 PRIMARY                  PRIMARY MAY NOT BEGIN WITH THIS TYPE QUANTITY     
1041 ANYWHERE                 MISSING RIGHT PARENTHESIS                         
1051 ANYWHERE                 MISSING LEFT PARENTHESIS                          
1061 PRIMARY                  PRIMARY MAY NOT START WITH DECLARATOR             
1071 BOOLEAN EXPRESSION       THE EXPRESSION IS NOT OF BOOLEAN TYPE             
1081 EXPRESSION               RELATION MAY NOT HAVE CONDITIONAL                 
1082                          EXPRESSIONS AS ARITHMETIC EXPRESSIONS             
1091 BOOLEAN EXPRESSION       PRIMARY IS NOT OF BOOLEAN TYPE                    
1101 BOOLEAN EXPRESSION       NON-BOOLEAN OPERATOR IN BOOLEAN EXPRESSION        
1111 BOOLEAN EXPRESSION       NO EXPRESSION MAY BEGIN WITH THIS TYPE QUANTITY   
1121 BOOLEAN EXPRESSION       NO EXPRESSION MAY BEGIN WITH A DECLARATOR         
1131 ANYWHERE                 EITHER SYNTAX OR RANGE OF LITERALS FOR            
1132                          CONCATENATE OPERATOR IS INCORRECT                 
1141 PARTIAL WORD             EITHER SYNTAX OR RANGE OF LITERALS FOR            
1142                          PARTIAL WORD DESIGNATOR IS INCORRECT              
1151 DESIGNATIONAL EXPRES-    EXPRESSION NOT OF DESIGNATIONAL TYPE              
1152 SION                                                                       
1161 IF CLAUSE                MISSING THEN                                      
1171 ANYWHERE                 MISSING LEFT BRACKET                              
1181 ANYWHERE                 MISSING RIGHT BRACKET                             
1191 COMPOUND TAIL            MISSING SEMICOLON OR END                          
1201 COMPOUND TAIL            MISSING END                                       
1211 ACTUAL PARAMETER PART    AN INDEXED FILE MAY BE PASSED BY NAME ONLY-       
1212                          AND ONLY TO STREAM PROCEDURE.                     
1221 ACTUAL PARAMETER PART    EXPRESSIONS MAY NOT BE PASSED BY NAME TO STREAM   
1222                          PROCEDURES                                        
1231 ACTUAL PARAMETER PART    ACTUAL AND FORMAL PARAMETERS NOT SAME TYPE        
1241 ACTUAL PARAMETER PART    ACTUAL AND FORMAL ARRAYS NOT SAME NUMBER OF       
1242                          DIMENSIONS                                        
1251 ACTUAL PARAMETER PART    STREAM PROCEDURE MAY NOT BE PASSED AS AN          
1252                          ACTUAL PARAMETER TO PROCEDURE                     
1261 ACTUAL PARAMETER PART    ACTUAL PARAMETER MAY NOT BEGIN WITH THIS          
1262                          TYPE QUANTITY                                     
1271 ACTUAL PARAMETER PART    THIS TYPE QUANTITY MAY NOT BE PASSED TO           
1272                          STREAM PROCEDURE                                  
1281 ACTUAL PARAMETER PART    ACTUAL AND FORMAL PARAMETERS DO NOT AGREE         
1282                          IN NUMBER OR EXTRA RIGHT PARENTHESIS              
1291 ACTUAL PARAMETER PART    ILLEGAL PARAMETER DELIMITER                       
1301 RELEASE STATEMENT        MISSING FILE NAME IN RELEASE STATEMENT            
1311 DO STATEMENT             MISSING UNTIL IN DO STATEMENT                     
1321 WHILE STATEMENT          MISSING DO IN WHILE STATEMENT                     
1331 LABEL                    MISSING COLON AFTER LABEL                         
1341 LABEL                    LABEL NOT DECLARED IN THIS BLOCK                  
1351 LABEL                    LABEL HAS ALREADY BEEN USED IN THIS BLOCK         
1361 FORMAT                   INPROPER FORMAT EDITING PHRASE                    
1371 FORMAT                   FORMAT EDITING PHRASE DOES NOT HAVE INTEGER       
1372                          WHERE REQUIRED                                    
1381 FORMAT                   WIDTH TOO SMALL IN E OR F OR R EDITING PHRASE     
1391 TABLE                    DEFINE NESTED MORE THAN 8 DEEP                    
1401 FORMAT                   INTEGER IN FORMAT GREATER THAN 1023               
1411 SCANNER                  INTEGER OR IDENTIFIER TOO LONG                    
1412                          OR ERROR IN PARAMETRIC DEFINE                     
1421 DEFINE                   DEFINE LONGER THAN 2047 CHARACTERS                
1431 COMPOUND TAIL            EXTRA END                                         
1441 STATEMENT                STATEMENT MAY NOT START WITH THIS TYPE            
1442                          IDENTIFIER                                        
1451 STATEMENT                STATEMENT MAY NOT START WITH THIS TYPE            
1452                          QUANTITY                                          
1461 STATEMENT                STATEMENT MAY NOT START WITH A DECLARATOR.        
1471 SWITCH                   MORE THAN 256 EXPRESSIONS IN SWITCH               
1472                          DECLARATION                                       
1481 PRT SPACE                MORE THAN 1023 PROGRAM REFERENCE TABLE            
1482                          CELLS REQUIRED FOR THIS PROGRAM                   
1491 PRT SPACE                MORE THAN 255 STACK CELLS REQUIRED FOR THIS       
1492                          PROCEDURE                                         
1501 ACTUAL PARAMETER PART    CONSTANTS MAY NOT BE PASSED BY NAME TO            
1502                          STREAM PROCEDURES                                 
1511 FOR STATEMENT            IMPROPER INDEX VARIABLE IN FOR STATEMENT          
1521 FOR STATEMENT            MISSING ASSIGNMENT OPERATOR FOLLOWING             
1522                          INDEX VARIABLE IN FOR STATEMENT                   
1531 FOR STATEMENT            MISSING UNTIL OR WHILE IN STEP ELEMENT            
1541 FOR STATEMENT            MISSING DO IN FOR CLAUSE                          
1551 IF STATEMENT             MISSING ELSE IN IF STATEMENT                      
1561 LIST ELEMENT             DESIGNATIONAL EXPRESSION MAY NOT BE LIST          
1562                          ELEMENT                                           
1571 LIST ELEMENT             ROW DESIGNATOR MAY NOT BE LIST ELEMENT            
1581 LIST ELEMENT             MISSING RIGHT BRACKET IN LIST ELEMENT             
1591 PROCEDURE STATEMENT      ILLEGAL USE OF PROCEDURE OR FUNCTION              
1592                          IDENTIFIER                                        
1601 PURGE                    DECLARED LABEL DID NOT OCCUR                      
1611 PURGE                    DECLARED FORWARD PROCEDURE DID NOT OCCUR          
1621 PURGE                    DECLARED FORWARD SWITCH DID NOT OCCUR             
1631 FORMAT                   WIDTH OF FIELD MORE THAN 63 CHARACTERS            
1641 ZIP STATEMENT            SYNTAX ERROR                                      
1651 IMPFUN                  SYNTAX ERROR IN DELAY STATEMENT                    
1661                         THE EXPRESSION IS NOT OF POINTER TYPE              
1671                         POINTER PRIMARY MAY NOT START WITH A QUANTITY OF   
1672                         THIS TYPE                                          
1681                         POINTER MAY NOT HAVE PARTIAL WORD SYNTAX           
1691                         POINTER ARRAYS NOT PERMITTED                       
1701                         MISSING COMMA.                                     
1711                         PARAMETERS MUST BE 2-DIMENSIONAL ARRAYS.           
1721                          TOO MANY PARAMETERS IN DEFINE DECLARATION.        
1731                          RIGHT PARENTHESIS OR RIGHT BRACKET EXPECTED.      
1741                          WRONG NUMBER OF PARAMETERS IN DEFINE INVOCATION.  
1991 E                        COMPILER SYMBOL TABLE OVERFLOW;                   
1992                          PLEASE SEE PROGRAMMING ASSISTANT.                 
2001 EMIT                     SEGMENT LONGER THAN 1023 WORDS.                   
2011 SIMPLE VARIABLE          PARTIAL WORD DESIGNATOR NOT LEFTMOST IN           
2012                          LEFT PART LIST                                    
2021 SIMPLE VARIABLE          MISSING PERIOD OR ASSIGNMENT OPERATOR             
2031 SUBSCRIPTED VARIABLE     WRONG NUMBER OF SUBSCRIPTS IN ROW DESIGNATOR      
2041 SUBSCRIPTED VARIABLE     MISSING RIGHT BRACKET IN ROW DESIGNATOR           
2051 SUBSCRIPTED VARIABLE     ROW DESIGNATOR OUTSIDE OF ACTUAL PARAMETER        
