0000  90MISSING "," OR ")" WHILE SCANNING PARAMETERS IN DEFINE                  
0000  91DUPLICATE PARAMETER NAME IN DEFINE                                      
0000  92TOO MANY LOCAL VARIABLES                                                
0000  93TOO MANY GLOBAL VARIABLES                                               
1004  94PARTIAL MSTRING STORE OUTSIDE OF PRESENT CONTENTS.                      
0000  95INTEGER MFIELDS MUST BE { 39 BITS                                       
0000  96MISSING "[", ":", OR "]" IN MFIELD DECLARATION                          
0000  97INVALID MFIELD DESCRIPTION                                              
0000  98MISSING DICTIONARY MSTRING IDENTIFIER                                   
0000  99MISSING DICTIONARY MPOINTER                                             
0000 100ILLEGAL USE OF PARTIAL MSTRING NOTATION                                 
0000 101MFIELD MODE DISAGREEMENT                                                
0000 102MISSING MFIELD DESIGNATOR                                               
0000 103TANK OVERFLOW...ALPHA REPRESENTATION LOST                               
0000 104MISSING MPOINTER                                                        
0000 105DECLARATION NOT FOLLOWED BY ";"                                         
0000 106MISSING "["                                                             
0000 107MISSING "]"                                                             
0000 108MISSING OR IMPROPER INTEGER WHERE REQUIRED                              
0000 109CODE IMAGES LOST DUE TO "SYNTAX" ON REQUEST                             
00001000THIS ERROR SHOULD NOT OCCUR, PLEASE NOTIFY SYSTEMS GROUP                
00001001DESIGNATOR                                                              
00001002TRUNCATED TO 8189 CHARACTERS.                                           
00001003IS TRUNCATED TO 2037 CHARACTERS.                                        
00001004GARBAGE EXISTS IN VOID.                                                 
00001005COMPILED OR INTERPRETED                                                 
0000 110CONSTRUCT NOT PERMITTED IN BASIC MCALGOL                                
0000 111CONSTRUCT NOT PERMITTED IN BASIC OR INTERMEDIATE MCALGOL                
0000 112CONTROL DECK FEATURE REQUIRES WRL MCP PATCHES(LOAD & TIME)              
